UID,Start Time,Start Lat,Start Long,Stop Time,Stop Lat,Stop Long
9806a6b1,24/04/2019 11:16:30,14.0366,-101.6985,24/04/2019 11:18:39,20.3463,-96.5828
6697bfb6,24/04/2019 11:20:40,26.1124,-91.3309,24/04/2019 11:22:47,31.9379,-85.1314
0260782d,24/04/2019 11:24:48,37.0783,-78.4643,24/04/2019 11:26:57,41.9921,-70.2983
ad7462dc,24/04/2019 11:28:57,45.9284,-61.3897,24/04/2019 11:31:05,49.1281,-50.5899
9aa7fb8b,24/04/2019 11:33:06,51.0138,-39.2371,24/04/2019 11:35:14,51.6131,-26.4963
52fef272,24/04/2019 11:37:15,50.7979,-14.5585,24/04/2019 11:39:23,48.5666,-2.7356
c9756b46,24/04/2019 11:41:24,45.3607,7.232,24/04/2019 11:43:32,41.0342,16.4381
aeb1714d,24/04/2019 11:45:33,36.3005,23.9247,24/04/2019 11:47:41,30.7629,30.8307
4b1f7bdb,24/04/2019 11:49:42,25.201,36.5637,24/04/2019 11:51:50,19.0374,42.0429
e72bc14d,24/04/2019 11:53:51,13.0637,46.8011,24/04/2019 11:55:59,6.6197,51.5742
51706397,24/04/2019 11:58:00,0.4948,55.9442,24/04/2019 12:00:08,-5.9878,60.5597
3da32322,24/04/2019 12:02:09,-12.0683,65.0316,24/04/2019 12:04:17,-18.4165,70.0302
c4442ae3,24/04/2019 12:06:18,-24.2408,75.1202,24/04/2019 12:08:26,-30.158,81.0845
f6903845,24/04/2019 12:10:27,-35.4185,87.4534,24/04/2019 12:12:35,-40.5022,95.2012
cf8f1869,24/04/2019 12:14:35,-44.6784,103.67,24/04/2019 12:16:44,-48.2242,114.0191
5659c58a,24/04/2019 12:18:45,-50.5052,124.9972,24/04/2019 12:20:53,-51.5831,137.528
2e7a4fdc,24/04/2019 12:22:53,-51.2335,149.5353,24/04/2019 12:25:01,-49.4585,161.6587
c5466ccd,24/04/2019 12:27:02,-46.6131,172.0396,24/04/2019 12:29:10,-42.6005,-178.3276
f0a23304,24/04/2019 12:31:11,-38.085,-170.4615,24/04/2019 12:33:19,-32.7309,-163.2403
6682b550,24/04/2019 12:35:20,-27.2911,-157.2698,24/04/2019 12:37:28,-21.2364,-151.6185
646eba8e,24/04/2019 12:39:29,-15.3258,-146.741,24/04/2019 12:41:37,-8.9169,-141.8869
c048f145,24/04/2019 12:43:38,-2.8073,-137.4864,24/04/2019 12:45:46,3.6782,-132.8839
44e47f2d,24/04/2019 12:47:47,9.7794,-128.468,24/04/2019 12:49:55,16.1736,-123.5774
437607c0,24/04/2019 12:51:56,22.0707,-118.6378,24/04/2019 12:54:04,28.1098,-112.8837
315f4a23,24/04/2019 12:56:05,33.5099,-106.795,24/04/2019 12:58:13,38.809,-99.3992
f2a76af5,24/04/2019 13:00:14,43.2393,-91.3405,24/04/2019 13:02:22,47.1356,-81.4442
9bb231c8,24/04/2019 13:04:23,49.8194,-70.8422,24/04/2019 13:06:31,51.3863,-58.4995
69431554,24/04/2019 13:08:32,51.5079,-46.4288,24/04/2019 13:10:40,50.1849,-33.9486
482d9f9e,24/04/2019 13:12:41,47.6973,-23.1372,24/04/2019 13:14:49,43.9712,-13.0083
491c0763,24/04/2019 13:16:50,39.6578,-4.7344,24/04/2019 13:18:58,34.4603,2.8368
7c90da26,24/04/2019 13:20:59,29.1178,9.0714,24/04/2019 13:23:07,23.1189,14.9422
ef249895,24/04/2019 13:25:08,17.2457,19.9601,24/04/2019 13:27:16,10.8659,24.905
b4d31b69,24/04/2019 13:29:17,4.7688,29.3491,24/04/2019 13:31:25,-1.7335,33.9681
bd948895,24/04/2019 13:33:26,-7.8527,38.3537,24/04/2019 13:35:34,-14.2799,43.1687
5d7938c2,24/04/2019 13:37:35,-20.2223,47.9897,24/04/2019 13:39:44,-26.3318,53.5614
2b5dfa90,24/04/2019 13:41:44,-31.8275,59.4167,24/04/2019 13:43:53,-37.2661,66.4848
089eb659,24/04/2019 13:45:54,-41.8823,74.1655,24/04/2019 13:48:01,-46.0341,83.5706
